date,basin,daymet_swe,gldas_swe,snodas_swe,uaz_swe
1980-01-01,V1,79.3472671508789,,,
1980-01-02,V1,79.3472671508789,,,
1980-01-03,V1,79.3472671508789,,,
1980-01-04,V1,79.3472671508789,,,
1980-01-05,V1,79.3472671508789,,,
1980-01-06,V1,79.3472671508789,,,
1980-01-07,V1,86.2634124755859,,,
1980-01-08,V1,86.2831115722656,,,
1980-01-09,V1,86.2831115722656,,,
1980-01-10,V1,86.3585205078125,,,
1980-01-11,V1,99.2031173706055,,,
1980-01-12,V1,99.3414154052734,,,
1980-01-13,V1,99.3414154052734,,,
1980-01-14,V1,103.169647216797,,,
1980-01-15,V1,103.167747497559,,,
1980-01-16,V1,103.167747497559,,,
1980-01-17,V1,105.793228149414,,,
1980-01-18,V1,106.785591125488,,,
1980-01-19,V1,105.606491088867,,,
1980-01-20,V1,105.606491088867,,,
1980-01-21,V1,105.606491088867,,,
1980-01-22,V1,108.325393676758,,,
1980-01-23,V1,114.549758911133,,,
1980-01-24,V1,114.549758911133,,,
1980-01-25,V1,114.549758911133,,,
1980-01-26,V1,114.549758911133,,,
1980-01-27,V1,114.549758911133,,,
1980-01-28,V1,114.549758911133,,,
1980-01-29,V1,114.549758911133,,,
1980-01-30,V1,114.549758911133,,,
1980-01-31,V1,114.549758911133,,,
1980-02-01,V1,114.549758911133,,,
1980-02-02,V1,115.715286254883,,,
1980-02-03,V1,115.916893005371,,,
1980-02-04,V1,116.712295532227,,,
1980-02-05,V1,116.817573547363,,,
1980-02-06,V1,116.817573547363,,,
1980-02-07,V1,116.817573547363,,,
1980-02-08,V1,116.817573547363,,,
1980-02-09,V1,116.817573547363,,,
1980-02-10,V1,116.817573547363,,,
1980-02-11,V1,116.817573547363,,,
1980-02-12,V1,116.817573547363,,,
1980-02-13,V1,116.817573547363,,,
1980-02-14,V1,116.817573547363,,,
1980-02-15,V1,116.817573547363,,,
1980-02-16,V1,124.887847900391,,,
1980-02-17,V1,125.440010070801,,,
1980-02-18,V1,125.440010070801,,,
1980-02-19,V1,125.440010070801,,,
1980-02-20,V1,125.440010070801,,,
1980-02-21,V1,125.440010070801,,,
1980-02-22,V1,130.56005859375,,,
1980-02-23,V1,130.56005859375,,,
1980-02-24,V1,133.174682617188,,,
1980-02-25,V1,133.174682617188,,,
1980-02-26,V1,133.174682617188,,,
1980-02-27,V1,133.174682617188,,,
1980-02-28,V1,133.174682617188,,,
1980-02-29,V1,133.174682617188,,,
1980-03-01,V1,133.174682617188,,,
1980-03-02,V1,133.174682617188,,,
1980-03-03,V1,133.174682617188,,,
1980-03-04,V1,133.174682617188,,,
1980-03-05,V1,136.649139404297,,,
1980-03-06,V1,137.015762329102,,,
1980-03-07,V1,137.015762329102,,,
1980-03-08,V1,143.079315185547,,,
1980-03-09,V1,145.3603515625,,,
1980-03-10,V1,145.3603515625,,,
1980-03-11,V1,165.477279663086,,,
1980-03-12,V1,165.477279663086,,,
1980-03-13,V1,165.477279663086,,,
1980-03-14,V1,180.214050292969,,,
1980-03-15,V1,180.286346435547,,,
1980-03-16,V1,180.286346435547,,,
1980-03-17,V1,194.796463012695,,,
1980-03-18,V1,210.687316894531,,,
1980-03-19,V1,210.687316894531,,,
1980-03-20,V1,210.687316894531,,,
1980-03-21,V1,210.687316894531,,,
1980-03-22,V1,209.832366943359,,,
1980-03-23,V1,207.825714111328,,,
1980-03-24,V1,207.404357910156,,,
1980-03-25,V1,205.569747924805,,,
1980-03-26,V1,203.603759765625,,,
1980-03-27,V1,202.115570068359,,,
1980-03-28,V1,202.115570068359,,,
1980-03-29,V1,200.745498657227,,,
1980-03-30,V1,200.613067626953,,,
1980-03-31,V1,200.613067626953,,,
1980-04-01,V1,200.613067626953,,,
1980-04-02,V1,200.070770263672,,,
1980-04-03,V1,198.710144042969,,,
1980-04-04,V1,198.321670532227,,,
1980-04-05,V1,196.511672973633,,,
1980-04-06,V1,196.503982543945,,,
1980-04-07,V1,196.503982543945,,,
1980-04-08,V1,195.238845825195,,,
1980-04-09,V1,191.902297973633,,,
1980-04-10,V1,188.725540161133,,,
1980-04-11,V1,185.148498535156,,,
1980-04-12,V1,182.427536010742,,,
1980-04-13,V1,179.064178466797,,,
1980-04-14,V1,175.888336181641,,,
1980-04-15,V1,172.288238525391,,,
1980-04-16,V1,170.166809082031,,,
1980-04-17,V1,170.159088134766,,,
1980-04-18,V1,169.417556762695,,,
1980-04-19,V1,169.185211181641,,,
1980-04-20,V1,168.663986206055,,,
1980-04-21,V1,166.946029663086,,,
1980-04-22,V1,169.262649536133,,,
1980-04-23,V1,167.383636474609,,,
1980-04-24,V1,164.059707641602,,,
1980-04-25,V1,159.884338378906,,,
1980-04-26,V1,155.225769042969,,,
1980-04-27,V1,150.853225708008,,,
1980-04-28,V1,148.674758911133,,,
1980-04-29,V1,147.322113037109,,,
1980-04-30,V1,143.952041625977,,,
1980-05-01,V1,140.418472290039,,,
1980-05-02,V1,137.750015258789,,,
1980-05-03,V1,135.474884033203,,,
1980-05-04,V1,132.358581542969,,,
1980-05-05,V1,130.983856201172,,,
1980-05-06,V1,128.777755737305,,,
1980-05-07,V1,125.361694335938,,,
1980-05-08,V1,121.517181396484,,,
1980-05-09,V1,117.591323852539,,,
1980-05-10,V1,114.851760864258,,,
1980-05-11,V1,111.92219543457,,,
1980-05-12,V1,105.89771270752,,,
1980-05-13,V1,102.371635437012,,,
1980-05-14,V1,97.8261795043945,,,
1980-05-15,V1,94.7358932495117,,,
1980-05-16,V1,91.4329223632812,,,
1980-05-17,V1,88.5354309082031,,,
1980-05-18,V1,84.3456192016602,,,
1980-05-19,V1,78.3002243041992,,,
1980-05-20,V1,75.5996704101562,,,
1980-05-21,V1,71.6016998291016,,,
1980-05-22,V1,65.180046081543,,,
1980-05-23,V1,61.8578643798828,,,
1980-05-24,V1,59.4932899475098,,,
1980-05-25,V1,55.8740386962891,,,
1980-05-26,V1,52.2290267944336,,,
1980-05-27,V1,48.2993507385254,,,
1980-05-28,V1,44.1603469848633,,,
1980-05-29,V1,41.1452102661133,,,
1980-05-30,V1,38.6035232543945,,,
1980-05-31,V1,33.0102653503418,,,
1980-06-01,V1,26.8862857818604,,,
1980-06-02,V1,22.7324504852295,,,
1980-06-03,V1,18.8881492614746,,,
1980-06-04,V1,15.4615135192871,,,
1980-06-05,V1,12.7562313079834,,,
1980-06-06,V1,10.9664373397827,,,
1980-06-07,V1,8.83082866668701,,,
1980-06-08,V1,6.4241681098938,,,
1980-06-09,V1,5.45688390731812,,,
