date,basin,daymet_swe,gldas_swe,snodas_swe,uaz_swe
1980-01-01,V670,0.0,,,
1980-01-02,V670,0.0,,,
1980-01-03,V670,0.0,,,
1980-01-04,V670,0.0,,,
1980-01-05,V670,0.0,,,
1980-01-06,V670,0.0,,,
1980-01-07,V670,0.0,,,
1980-01-08,V670,0.0,,,
1980-01-09,V670,0.0,,,
1980-01-10,V670,11.507287979126,,,
1980-01-11,V670,22.2216625213623,,,
1980-01-12,V670,20.4295425415039,,,
1980-01-13,V670,18.2771682739258,,,
1980-01-14,V670,16.7605514526367,,,
1980-01-15,V670,15.7708435058594,,,
1980-01-16,V670,14.2539043426514,,,
1980-01-17,V670,13.3539133071899,,,
1980-01-18,V670,13.3539133071899,,,
1980-01-19,V670,13.3531608581543,,,
1980-01-20,V670,12.7926836013794,,,
1980-01-21,V670,12.2889842987061,,,
1980-01-22,V670,11.5895929336548,,,
1980-01-23,V670,10.9389028549194,,,
1980-01-24,V670,10.3922328948975,,,
1980-01-25,V670,10.23024559021,,,
1980-01-26,V670,10.23024559021,,,
1980-01-27,V670,10.23024559021,,,
1980-01-28,V670,10.23024559021,,,
1980-01-29,V670,10.23024559021,,,
1980-01-30,V670,10.23024559021,,,
1980-01-31,V670,10.1058769226074,,,
1980-02-01,V670,9.371413230896,,,
1980-02-02,V670,8.50051784515381,,,
1980-02-03,V670,7.56619024276733,,,
1980-02-04,V670,6.95428895950317,,,
1980-02-05,V670,6.13718128204346,,,
1980-02-06,V670,5.48096323013306,,,
1980-02-07,V670,5.00706958770752,,,
1980-02-08,V670,4.60271883010864,,,
1980-02-09,V670,4.11466503143311,,,
1980-02-10,V670,3.54254150390625,,,
1980-02-11,V670,3.0510528087616,,,
1980-02-12,V670,2.53179240226746,,,
1980-02-13,V670,1.99595069885254,,,
1980-02-14,V670,1.47347259521484,,,
1980-02-15,V670,0.786704897880554,,,
1980-02-16,V670,0.387662589550018,,,
1980-02-17,V670,0.140732407569885,,,
1980-02-18,V670,0.0,,,
1980-02-19,V670,0.0,,,
1980-02-20,V670,0.0,,,
1980-02-21,V670,0.0,,,
1980-02-22,V670,0.0,,,
1980-02-23,V670,0.0,,,
1980-02-24,V670,0.0,,,
1980-02-25,V670,0.0,,,
1980-02-26,V670,0.0,,,
1980-02-27,V670,0.0,,,
1980-02-28,V670,0.0,,,
1980-02-29,V670,0.0,,,
1980-03-01,V670,0.0,,,
1980-03-02,V670,0.0,,,
1980-03-03,V670,0.0,,,
1980-03-04,V670,0.0,,,
1980-03-05,V670,0.0,,,
1980-03-06,V670,0.0,,,
1980-03-07,V670,0.0,,,
1980-03-08,V670,0.0,,,
1980-03-09,V670,0.0,,,
1980-03-10,V670,0.0,,,
1980-03-11,V670,0.0,,,
1980-03-12,V670,0.0,,,
1980-03-13,V670,0.0,,,
1980-03-14,V670,0.0,,,
1980-03-15,V670,0.0,,,
1980-03-16,V670,0.0,,,
1980-03-17,V670,0.0,,,
1980-03-18,V670,0.0,,,
1980-03-19,V670,0.0,,,
1980-03-20,V670,0.0,,,
1980-03-21,V670,0.0,,,
1980-03-22,V670,0.0,,,
1980-03-23,V670,0.0,,,
1980-03-24,V670,0.0,,,
1980-03-25,V670,0.0,,,
1980-03-26,V670,0.0,,,
1980-03-27,V670,0.0,,,
1980-03-28,V670,0.0,,,
1980-03-29,V670,0.0,,,
1980-03-30,V670,0.0,,,
1980-03-31,V670,0.0,,,
1980-04-01,V670,0.0,,,
1980-04-02,V670,0.0,,,
1980-04-03,V670,0.0,,,
1980-04-04,V670,0.0,,,
1980-04-05,V670,0.0,,,
1980-04-06,V670,0.0,,,
1980-04-07,V670,0.0,,,
1980-04-08,V670,0.0,,,
1980-04-09,V670,0.0,,,
1980-04-10,V670,0.0,,,
1980-04-11,V670,0.0,,,
1980-04-12,V670,0.0,,,
1980-04-13,V670,0.0,,,
1980-04-14,V670,0.0,,,
1980-04-15,V670,0.0,,,
1980-04-16,V670,0.0,,,
1980-04-17,V670,0.0,,,
1980-04-18,V670,0.0,,,
1980-04-19,V670,0.0,,,
1980-04-20,V670,0.0,,,
1980-04-21,V670,0.0,,,
1980-04-22,V670,0.0,,,
1980-04-23,V670,0.0,,,
1980-04-24,V670,0.0,,,
1980-04-25,V670,0.0,,,
1980-04-26,V670,0.0,,,
1980-04-27,V670,0.0,,,
1980-04-28,V670,0.0,,,
1980-04-29,V670,0.0,,,
1980-04-30,V670,0.0,,,
1980-05-01,V670,0.0,,,
1980-05-02,V670,0.0,,,
1980-05-03,V670,0.0,,,
1980-05-04,V670,0.0,,,
1980-05-05,V670,0.0,,,
1980-05-06,V670,0.0,,,
1980-05-07,V670,0.0,,,
1980-05-08,V670,0.0,,,
1980-05-09,V670,0.0,,,
1980-05-10,V670,0.0,,,
1980-05-11,V670,0.0,,,
1980-05-12,V670,0.0,,,
1980-05-13,V670,0.0,,,
1980-05-14,V670,0.0,,,
1980-05-15,V670,0.0,,,
1980-05-16,V670,0.0,,,
1980-05-17,V670,0.0,,,
1980-05-18,V670,0.0,,,
1980-05-19,V670,0.0,,,
1980-05-20,V670,0.0,,,
1980-05-21,V670,0.0,,,
1980-05-22,V670,0.0,,,
1980-05-23,V670,0.0,,,
1980-05-24,V670,0.0,,,
1980-05-25,V670,0.0,,,
1980-05-26,V670,0.0,,,
1980-05-27,V670,0.0,,,
1980-05-28,V670,0.0,,,
1980-05-29,V670,0.0,,,
1980-05-30,V670,0.0,,,
1980-05-31,V670,0.0,,,
1980-06-01,V670,0.0,,,
1980-06-02,V670,0.0,,,
1980-06-03,V670,0.0,,,
1980-06-04,V670,0.0,,,
1980-06-05,V670,0.0,,,
1980-06-06,V670,0.0,,,
1980-06-07,V670,0.0,,,
1980-06-08,V670,0.0,,,
1980-06-09,V670,0.0,,,
1980-06-10,V670,0.0,,,
1980-06-11,V670,0.0,,,
1980-06-12,V670,0.0,,,
1980-06-13,V670,0.0,,,
1980-06-14,V670,0.0,,,
1980-06-15,V670,0.0,,,
1980-06-16,V670,0.0,,,
1980-06-17,V670,0.0,,,
1980-06-18,V670,0.0,,,
1980-06-19,V670,0.0,,,
1980-06-20,V670,0.0,,,
1980-06-21,V670,0.0,,,
1980-06-22,V670,0.0,,,
1980-06-23,V670,0.0,,,
1980-06-24,V670,0.0,,,
1980-06-25,V670,0.0,,,
1980-06-26,V670,0.0,,,
1980-06-27,V670,0.0,,,
1980-06-28,V670,0.0,,,
1980-06-29,V670,0.0,,,
1980-06-30,V670,0.0,,,
1980-07-01,V670,0.0,,,
1980-07-02,V670,0.0,,,
1980-07-03,V670,0.0,,,
1980-07-04,V670,0.0,,,
1980-07-05,V670,0.0,,,
1980-07-06,V670,0.0,,,
1980-07-07,V670,0.0,,,
1980-07-08,V670,0.0,,,
1980-07-09,V670,0.0,,,
1980-07-10,V670,0.0,,,
1980-07-11,V670,0.0,,,
1980-07-12,V670,0.0,,,
1980-07-13,V670,0.0,,,
1980-07-14,V670,0.0,,,
1980-07-15,V670,0.0,,,
1980-07-16,V670,0.0,,,
1980-07-17,V670,0.0,,,
1980-07-18,V670,0.0,,,
1980-07-19,V670,0.0,,,
1980-07-20,V670,0.0,,,
1980-07-21,V670,0.0,,,
1980-07-22,V670,0.0,,,
1980-07-23,V670,0.0,,,
1980-07-24,V670,0.0,,,
1980-07-25,V670,0.0,,,
1980-07-26,V670,0.0,,,
1980-07-27,V670,0.0,,,
1980-07-28,V670,0.0,,,
1980-07-29,V670,0.0,,,
1980-07-30,V670,0.0,,,
1980-07-31,V670,0.0,,,
1980-08-01,V670,0.0,,,
1980-08-02,V670,0.0,,,
1980-08-03,V670,0.0,,,
1980-08-04,V670,0.0,,,
1980-08-05,V670,0.0,,,
1980-08-06,V670,0.0,,,
1980-08-07,V670,0.0,,,
1980-08-08,V670,0.0,,,
1980-08-09,V670,0.0,,,
1980-08-10,V670,0.0,,,
1980-08-11,V670,0.0,,,
1980-08-12,V670,0.0,,,
1980-08-13,V670,0.0,,,
1980-08-14,V670,0.0,,,
1980-08-15,V670,0.0,,,
1980-08-16,V670,0.0,,,
1980-08-17,V670,0.0,,,
1980-08-18,V670,0.0,,,
1980-08-19,V670,0.0,,,
1980-08-20,V670,0.0,,,
1980-08-21,V670,0.0,,,
1980-08-22,V670,0.0,,,
1980-08-23,V670,0.0,,,
1980-08-24,V670,0.0,,,
1980-08-25,V670,0.0,,,
1980-08-26,V670,0.0,,,
1980-08-27,V670,0.0,,,
1980-08-28,V670,0.0,,,
1980-08-29,V670,0.0,,,
1980-08-30,V670,0.0,,,
1980-08-31,V670,0.0,,,
1980-09-01,V670,0.0,,,
1980-09-02,V670,0.0,,,
